,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
19938,Shared room,200.0,1.0,100.0,2.0,4.83,1.0,1.0,Shared room in guesthouse
19939,Shared room,220.0,1.0,100.0,2.0,4.57,1.0,1.0,Shared room in guesthouse
20008,Shared room,309.0,1.0,67.0,1.0,4.86,1.0,0.0,Shared room in rental unit
20018,Shared room,133.0,0.0,98.0,2.5,4.8,1.0,1.0,Shared room in home
20393,Shared room,193.0,0.0,92.0,2.0,4.88,1.0,0.0,Shared room in guesthouse
20395,Shared room,189.0,0.0,92.0,2.0,5.0,1.0,0.0,Shared room in home
21143,Shared room,310.0,1.0,93.0,1.0,4.67,1.0,1.0,Shared room in home
21318,Shared room,120.0,0.0,98.0,2.5,4.5,1.0,1.0,Shared room in home
21469,Shared room,474.0,0.0,94.0,4.0,4.78,1.0,1.0,Shared room in home
21472,Shared room,116.0,0.0,98.0,2.5,4.42,1.0,1.0,Shared room in home
21597,Shared room,120.0,0.0,98.0,2.5,4.5,1.0,1.0,Shared room in home
21602,Shared room,133.0,0.0,98.0,2.5,3.0,1.0,1.0,Shared room in home
21631,Shared room,120.0,0.0,98.0,2.5,4.0,1.0,1.0,Shared room in home
21790,Shared room,402.0,0.0,100.0,1.0,5.0,1.0,1.0,Shared room in hotel
22185,Shared room,230.0,1.0,99.0,1.0,4.85,1.0,0.0,Shared room in rental unit
22187,Shared room,230.0,1.0,99.0,1.0,4.67,1.0,0.0,Shared room in rental unit
22188,Shared room,230.0,1.0,99.0,1.0,4.76,1.0,0.0,Shared room in rental unit
22346,Shared room,133.0,0.0,98.0,2.5,4.5,1.0,1.0,Shared room in bed and breakfast
22453,Shared room,117.0,0.0,98.0,4.0,3.71,1.0,1.0,Shared room in bed and breakfast
22615,Shared room,123.0,0.0,98.0,4.0,3.0,1.0,1.0,Shared room in bed and breakfast
22625,Shared room,125.0,0.0,98.0,4.0,3.75,1.0,1.0,Shared room in bed and breakfast
22814,Shared room,201.0,0.0,72.0,1.5,4.92,1.0,0.0,Shared room in home
22884,Shared room,510.0,0.0,99.0,1.0,4.9,1.0,1.0,Shared room in rental unit
23125,Shared room,607.0,1.0,100.0,1.0,4.56,1.0,1.0,Shared room in rental unit
23255,Shared room,280.0,0.0,99.0,0.5,4.84,1.0,1.0,Shared room in guesthouse
23632,Shared room,200.0,0.0,97.0,2.0,4.69,1.0,0.0,Shared room in home
24713,Shared room,330.0,0.0,78.0,1.0,4.7,1.0,1.0,Shared room in home
24965,Shared room,918.0,0.0,94.0,1.0,4.63,1.0,1.0,Shared room in rental unit
25009,Shared room,23760.0,0.0,38.0,3.0,4.8,1.0,0.0,Shared room in bed and breakfast
25020,Shared room,136.0,0.0,98.0,2.5,4.0,1.0,1.0,Shared room in home
25409,Shared room,242.0,0.0,100.0,0.5,5.0,1.0,0.0,Shared room in hotel
25410,Shared room,194.0,0.0,100.0,0.5,4.8,1.0,0.0,Shared room in hotel
25646,Shared room,1200.0,0.0,25.0,1.0,4.8,1.0,0.0,Shared room in rental unit
25735,Shared room,194.0,0.0,100.0,1.0,4.8,1.0,0.0,Shared room in hotel
25755,Shared room,142.0,0.0,98.0,2.5,4.8,1.0,1.0,Shared room in home
