,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
209,Private room,600.0,0.0,100.0,1.0,4.94,0.0,0.0,Private room in rental unit
210,Private room,1114.0,0.0,99.0,1.0,5.0,0.0,0.0,Private room in home
214,Private room,770.0,0.0,91.0,1.0,5.0,1.0,0.0,Private room in condo
215,Private room,300.0,0.0,23.0,2.0,4.59,1.0,0.0,Private room in tiny home
216,Private room,1114.0,0.0,99.0,2.0,4.8,1.0,0.0,Private room in home
221,Private room,506.0,0.0,14.0,1.0,5.0,1.0,0.0,Private room in rental unit
223,Private room,985.0,0.0,100.0,1.0,4.93,1.0,0.0,Private room in rental unit
228,Private room,462.0,1.0,87.0,1.5,4.96,1.0,0.0,Private room in home
233,Private room,830.0,1.0,100.0,1.5,4.93,1.0,0.0,Private room in bed and breakfast
236,Private room,1114.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in rental unit
247,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in loft
251,Private room,607.0,0.0,78.0,1.0,4.87,1.0,0.0,Private room in rental unit
252,Private room,800.0,0.0,50.0,1.5,4.0,1.0,0.0,Private room in rental unit
253,Private room,3235.0,1.0,62.0,1.0,5.0,1.0,0.0,Private room in rental unit
258,Private room,600.0,1.0,100.0,1.0,5.0,1.0,1.0,Private room in home
261,Private room,1112.0,1.0,97.0,2.0,4.88,1.0,0.0,Private room in home
263,Private room,500.0,1.0,86.0,1.5,4.96,1.0,0.0,Private room in home
264,Private room,1114.0,0.0,99.0,1.5,4.73,0.0,0.0,Private room in loft
265,Private room,404.0,0.0,99.0,1.0,4.0,1.0,0.0,Private room in rental unit
272,Private room,809.0,0.0,100.0,2.0,4.8,1.0,1.0,Private room in rental unit
275,Private room,483.0,1.0,93.0,1.0,5.0,1.0,0.0,Private room in guest suite
278,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
283,Private room,700.0,0.0,73.0,1.0,4.8,1.0,0.0,Private room in home
286,Private room,750.0,0.0,67.0,1.0,4.67,1.0,0.0,Private room in home
287,Private room,1200.0,0.0,99.0,1.0,4.98,1.0,0.0,Private room in rental unit
289,Private room,600.0,0.0,0.0,1.0,5.0,1.0,0.0,Private room in guesthouse
291,Private room,428.0,0.0,14.0,1.5,4.67,1.0,0.0,Private room in home
292,Private room,1500.0,0.0,0.0,1.5,4.94,1.0,0.0,Private room in home
295,Private room,1092.0,0.0,100.0,2.0,3.67,1.0,0.0,Private room in rental unit
299,Private room,289.0,0.0,97.0,2.5,4.58,1.0,1.0,Private room in rental unit
301,Private room,345.0,1.0,75.0,1.0,4.74,1.0,0.0,Private room in rental unit
303,Private room,1114.0,0.0,99.0,1.0,4.82,0.0,0.0,Private room in home
306,Private room,4714.0,0.0,100.0,1.0,4.79,1.0,1.0,Private room in home
307,Private room,664.0,0.0,100.0,1.0,4.54,1.0,1.0,Private room in rental unit
309,Private room,1112.0,0.0,0.0,1.0,4.8,1.0,1.0,Private room in bed and breakfast
321,Private room,750.0,0.0,67.0,1.0,4.0,1.0,0.0,Private room in home
322,Private room,700.0,0.0,0.0,1.0,4.89,1.0,0.0,Private room in rental unit
323,Private room,750.0,0.0,67.0,1.0,4.44,1.0,0.0,Private room in home
325,Private room,498.0,0.0,100.0,1.0,4.84,1.0,1.0,Private room in rental unit
326,Private room,250.0,1.0,86.0,1.0,4.8,1.0,0.0,Private room in rental unit
330,Private room,1114.0,0.0,99.0,2.0,4.8,0.0,0.0,Private room in home
331,Private room,1114.0,0.0,99.0,2.0,4.8,0.0,0.0,Private room in home
332,Private room,316.0,0.0,99.0,1.0,5.0,1.0,0.0,Private room in condo
334,Private room,1200.0,0.0,67.0,1.0,4.97,1.0,0.0,Private room in guest suite
338,Private room,1517.0,1.0,98.0,1.0,4.99,1.0,1.0,Private room in home
341,Private room,1150.0,0.0,75.0,2.5,4.93,1.0,0.0,Private room in rental unit
344,Private room,299.0,0.0,97.0,4.0,4.3,1.0,1.0,Private room in rental unit
353,Private room,789.0,1.0,98.0,1.0,4.83,1.0,0.0,Private room in guest suite
358,Private room,339.0,0.0,39.0,1.5,4.73,1.0,0.0,Private room in home
360,Private room,594.0,0.0,99.0,1.5,4.97,1.0,1.0,Private room in home
364,Private room,350.0,0.0,100.0,1.0,4.65,1.0,0.0,Private room in home
367,Private room,1357.0,1.0,99.0,1.0,4.94,1.0,0.0,Private room in loft
368,Private room,393.0,0.0,0.0,1.0,4.52,1.0,0.0,Private room in condo
369,Private room,586.0,1.0,98.0,1.5,4.87,1.0,0.0,Private room in guest suite
374,Private room,550.0,1.0,96.0,1.0,4.93,1.0,0.0,Private room in rental unit
376,Private room,1200.0,0.0,25.0,1.0,4.88,1.0,0.0,Private room in rental unit
381,Private room,980.0,0.0,0.0,2.5,4.9,1.0,0.0,Private room in rental unit
383,Private room,500.0,1.0,88.0,0.0,4.75,1.0,0.0,Private room in rental unit
392,Private room,627.0,0.0,0.0,1.0,4.85,1.0,0.0,Private room in rental unit
395,Private room,490.0,1.0,94.0,1.5,4.92,1.0,0.0,Private room in home
396,Private room,630.0,1.0,94.0,1.5,4.96,1.0,0.0,Private room in home
399,Private room,850.0,0.0,19.0,2.0,4.8,1.0,0.0,Private room in rental unit
400,Private room,1114.0,0.0,99.0,2.0,5.0,1.0,0.0,Private room in rental unit
401,Private room,1114.0,0.0,99.0,2.0,4.5,0.0,0.0,Private room in rental unit
403,Private room,410.0,1.0,100.0,1.5,4.72,1.0,0.0,Private room in home
405,Private room,5344.0,0.0,99.0,1.0,4.96,1.0,0.0,Private room in rental unit
406,Private room,393.0,1.0,100.0,1.5,4.67,1.0,1.0,Private room in home
409,Private room,236.0,1.0,79.0,1.0,4.85,1.0,0.0,Private room in home
410,Private room,230.0,1.0,79.0,1.0,4.88,1.0,0.0,Private room in home
411,Private room,7072.0,0.0,100.0,1.0,4.87,1.0,1.0,Private room in home
412,Private room,880.0,0.0,25.0,1.0,4.97,1.0,0.0,Private room in rental unit
413,Private room,990.0,0.0,25.0,1.0,4.91,1.0,0.0,Private room in condo
414,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
415,Private room,1114.0,0.0,99.0,1.0,4.61,1.0,0.0,Private room in rental unit
416,Private room,1114.0,0.0,99.0,1.0,5.0,0.0,0.0,Private room in home
421,Private room,471.0,0.0,29.0,1.0,4.88,1.0,0.0,Private room in rental unit
422,Private room,12638.0,0.0,33.0,10.0,4.8,1.0,0.0,Private room in bed and breakfast
425,Private room,900.0,1.0,91.0,1.5,4.95,1.0,0.0,Private room in home
428,Private room,809.0,0.0,99.0,2.5,5.0,1.0,0.0,Private room in rental unit
429,Private room,900.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in rental unit
432,Private room,1882.0,0.0,75.0,1.5,5.0,1.0,0.0,Private room in home
433,Private room,390.0,0.0,80.0,1.5,4.89,1.0,0.0,Private room in rental unit
434,Private room,1800.0,0.0,100.0,1.0,4.82,1.0,1.0,Room in boutique hotel
439,Private room,2279.0,0.0,100.0,1.0,4.47,1.0,1.0,Room in boutique hotel
442,Private room,1114.0,0.0,33.0,1.0,5.0,1.0,0.0,Private room in bed and breakfast
446,Private room,465.0,0.0,83.0,1.0,4.5,1.0,0.0,Private room in guesthouse
448,Private room,399.0,0.0,97.0,1.0,4.0,1.0,1.0,Private room in rental unit
452,Private room,226.0,0.0,100.0,1.5,4.61,1.0,0.0,Private room in rental unit
453,Private room,583.0,1.0,95.0,1.0,4.97,1.0,0.0,Private room in rental unit
454,Private room,768.0,0.0,57.0,2.0,4.93,1.0,0.0,Private room in condo
455,Private room,230.0,1.0,79.0,1.5,4.77,1.0,0.0,Private room in home
458,Private room,550.0,0.0,87.0,1.0,4.87,1.0,1.0,Private room in rental unit
460,Private room,1759.0,0.0,0.0,2.0,4.8,1.0,0.0,Private room in rental unit
461,Private room,500.0,0.0,50.0,1.0,4.95,1.0,0.0,Private room in home
464,Private room,930.0,0.0,100.0,1.0,4.86,1.0,1.0,Private room in rental unit
